name,currency,capital,languages,latitude,longitude,area,region,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Libya,Libyan dinar,Tripoli,Arabic,25.0,17.0,1759540.0,Africa,Northern Africa,"['DZA', 'TCD', 'EGY', 'NER', 'SDN', 'TUN']",47,,3.00,1.70,18.60,8.50,83.00,18.50,7.38
Qatar,Qatari riyal,Doha,Arabic,25.5,51.25,11586.0,Asia,Western Asia,['SAU'],218,0.30,5.10,-0.08,0.10,0.70,40.80,17.40,3.12
Pakistan,Pakistani rupee,Islamabad,English,30.0,70.0,881912.0,Asia,Southern Asia,"['AFG', 'CHN', 'IND', 'IRN']",373,5.79,11.00,4.10,5.50,-6.80,80.00,-0.50,251.27
Guinea,Guinean franc,Conakry,French,11.0,-10.0,245857.0,Africa,Western Africa,"['CIV', 'GNB', 'LBR', 'MLI', 'SEN', 'SLE']",25,,10.25,2.20,5.20,-3.00,42.40,10.31,13.99
Brunei,Brunei dollar,Bandar Seri Begawan,Malay,4.5,114.66666666,5765.0,Asia,South-Eastern Asia,['MYS'],15,,5.50,-0.60,4.70,1.10,2.30,15.90,0.46
Madagascar,Malagasy ariary,Antananarivo,French,-20.0,47.0,587041.0,Africa,Eastern Africa,,17,,12.00,8.10,3.00,-3.80,38.80,-4.50,31.96
Azerbaijan,Azerbaijani manat,Baku,Azerbaijani,40.5,47.5,86600.0,Asia,Western Asia,"['ARM', 'GEO', 'IRN', 'RUS', 'TUR']",74,,7.00,5.00,5.30,-0.40,20.90,6.30,10.18
Palestine,Egyptian pound,Ramallah,Arabic,31.9,35.2,6220.0,Asia,Western Asia,"['ISR', 'EGY', 'JOR']",14,,,59.35,28.60,0.50,30.70,-21.10,5.61
Central African Republic,Central African CFA franc,Bangui,French,7.0,21.0,622984.0,Africa,Middle Africa,"['CMR', 'TCD', 'COD', 'COG', 'SSD', 'SDN']",3,,4.50,4.10,6.30,-4.90,60.70,-8.00,5.33
Bahrain,Bahraini dinar,Manama,Arabic,26.0,50.55,765.0,Asia,Western Asia,,48,-7.57,5.25,-0.40,6.30,-5.60,134.00,5.30,1.59
Austria,Euro,Vienna,German,47.33333333,13.33333333,83871.0,Europe,Central Europe,"['CZE', 'DEU', 'HUN', 'ITA', 'LIE', 'SVK', 'SVN', 'CHE']",522,0.10,2.15,3.60,6.70,-4.70,81.80,2.40,9.20
France,Euro,Paris,French,46.0,2.0,551695.0,Europe,Western Europe,"['AND', 'BEL', 'DEU', 'ITA', 'LUX', 'MCO', 'ESP', 'CHE']",3162,0.30,2.15,1.00,7.50,-5.80,113.00,0.40,68.44
El Salvador,United States dollar,San Salvador,Spanish,13.83333333,-88.91666666,21041.0,Americas,Central America,"['GTM', 'HND']",35,-0.58,5.38,-0.14,5.20,-3.30,61.13,-1.80,6.31
Namibia,Namibian dollar,Windhoek,Afrikaans,-22.0,17.0,825615.0,Africa,Southern Africa,"['AGO', 'BWA', 'ZAF', 'ZMB']",13,-3.19,6.75,3.50,19.10,-3.90,65.30,-15.30,2.69
Australia,Australian dollar,Canberra,English,-27.0,133.0,7692024.0,Oceania,Australia and New Zealand,,1752,0.20,3.60,2.10,4.20,0.60,43.80,-2.10,27.40
Morocco,Moroccan dirham,Rabat,Arabic,32.0,-5.0,446550.0,Africa,Northern Africa,"['DZA', 'ESH', 'ESP']",154,1.10,2.25,0.50,12.80,-3.90,70.00,-2.80,37.37
Ireland,Euro,Dublin,English,53.0,-8.0,70273.0,Europe,Northern Europe,['GBR'],577,-1.00,2.15,1.70,4.90,4.30,40.90,17.20,5.44
Nicaragua,Nicaraguan córdoba,Managua,Spanish,13.0,-85.0,130373.0,Americas,Central America,"['CRI', 'HND']",20,,6.25,0.64,2.80,0.30,39.10,4.20,6.87
Bahamas,Bahamian dollar,Nassau,English,25.0343,-77.3963,13943.0,Americas,Caribbean,,16,,4.00,-0.40,9.40,-1.30,81.50,-7.90,0.41
Oman,Omani rial,Muscat,Arabic,21.0,57.0,309500.0,Asia,Western Asia,"['SAU', 'ARE', 'YEM']",107,,5.00,0.80,3.20,2.20,36.50,5.00,5.27
Switzerland,Swiss franc,Bern,French,47.0,8.0,41284.0,Europe,Western Europe,"['AUT', 'FRA', 'ITA', 'LIE', 'DEU']",937,0.10,0.00,0.20,2.70,0.60,37.60,5.10,9.05
Iceland,Icelandic króna,Reykjavik,Icelandic,65.0,-18.0,103000.0,Europe,Northern Europe,,33,2.70,7.50,4.00,2.80,-3.40,59.30,-2.70,0.39
Japan,Japanese yen,Tokyo,Japanese,36.0,138.0,377930.0,Asia,Eastern Asia,,4026,0.30,0.50,3.10,2.50,-2.30,236.70,4.70,120.65
Netherlands,Euro,Amsterdam,Dutch,52.5,5.75,41850.0,Europe,Western Europe,"['BEL', 'DEU']",1228,0.10,2.15,2.90,3.80,-1.10,43.70,9.10,18.04
Belarus,Belarusian ruble,Minsk,Belarusian,53.0,28.0,207600.0,Europe,Eastern Europe,"['LVA', 'LTU', 'POL', 'RUS', 'UKR']",76,,9.75,7.40,3.00,-0.30,24.00,-2.50,9.11
Uganda,Ugandan shilling,Kampala,English,1.0,32.0,241550.0,Africa,Eastern Africa,"['COD', 'KEN', 'RWA', 'SSD', 'TZA']",54,3.70,9.75,3.80,2.90,-4.70,51.80,-9.21,50.02
Yemen,Yemeni rial,Sana'a,Arabic,15.0,48.0,527968.0,Asia,Western Asia,"['OMN', 'SAU']",19,,27.00,0.77,17.10,-5.20,70.90,-5.90,40.58
Haiti,Haitian gourde,Port-au-Prince,French,19.0,-72.41666666,27750.0,Americas,Caribbean,['DOM'],25,,17.00,29.60,15.10,7.10,14.00,-0.40,11.90
Argentina,Argentine peso,Buenos Aires,Guaraní,-34.0,-64.0,2780400.0,Americas,South America,"['BOL', 'BRA', 'CHL', 'PRY', 'URY']",633,0.80,29.00,36.60,7.90,-4.37,83.20,0.60,47.07
Egypt,Egyptian pound,Cairo,Arabic,27.0,30.0,1002450.0,Africa,Northern Africa,"['ISR', 'LBY', 'PSE', 'SDN']",389,9.80,24.00,13.90,6.10,-7.10,82.90,-5.30,107.20
Kuwait,Kuwaiti dinar,Kuwait City,Arabic,29.5,45.75,17818.0,Asia,Western Asia,"['IRQ', 'SAU']",160,4.70,4.00,2.39,2.10,21.60,3.00,28.20,4.79
Cayman Islands,Cayman Islands dollar,George Town,English,19.3133,-81.2546,264.0,Americas,Caribbean,,7,,,1.80,2.80,-1.10,7.60,-7.70,0.09
Gabon,Central African CFA franc,Libreville,French,-1.0,11.75,267668.0,Africa,Middle Africa,"['CMR', 'COG', 'GNQ']",21,,4.50,0.70,20.10,-3.00,73.40,5.10,2.54
Sri Lanka,Sri Lankan rupee,Sri Jayawardenepura Kotte,Sinhala,7.0,81.0,65610.0,Asia,Southern Asia,['IND'],99,1.40,7.75,-0.30,3.80,-6.80,96.10,1.20,23.10
Trinidad and Tobago,Trinidad and Tobago dollar,Port of Spain,English,10.6918,-61.2225,5130.0,Americas,Caribbean,,26,2.60,3.50,1.50,4.90,-6.70,56.10,6.60,1.37
Colombia,Colombian peso,Bogotá,Spanish,4.0,-72.0,1141748.0,Americas,South America,"['BRA', 'ECU', 'PAN', 'PER', 'VEN']",419,0.50,9.25,4.90,8.60,-5.80,61.30,-1.80,52.97
Macau,Macanese pataca,,Portuguese,22.16666666,113.55,30.0,Asia,Eastern Asia,['CHN'],50,,4.75,0.12,1.90,,,31.40,0.69
Mexico,Mexican peso,Mexico City,Spanish,23.0,-102.0,1964375.0,Americas,North America,"['BLZ', 'GTM', 'USA']",1853,0.60,7.75,3.51,2.70,-5.70,49.70,-0.80,130.86
New Caledonia,CFP franc,Nouméa,French,-21.5,165.5,18575.0,Oceania,Melanesia,,10,,2.00,0.80,11.20,,,,0.29
Kosovo,Euro,Pristina,Albanian,42.666667,21.166667,10908.0,Europe,Southeast Europe,"['ALB', 'MKD', 'MNE', 'SRB']",11,,,4.30,10.80,0.20,16.90,-9.00,1.60
Malaysia,Malaysian ringgit,Kuala Lumpur,English,2.5,112.5,330803.0,Asia,South-Eastern Asia,"['BRN', 'IDN', 'THA']",422,2.10,2.75,1.20,3.00,-4.10,70.40,1.70,34.10
Fiji,Fijian dollar,Suva,English,-17.7134,178.065,18272.0,Oceania,Melanesia,,6,,0.25,-0.40,4.30,-3.40,78.30,-8.70,0.93
Jamaica,Jamaican dollar,Kingston,English,18.25,-77.5,10991.0,Americas,Caribbean,,20,0.80,5.75,3.30,3.30,-1.00,67.90,1.30,2.82
